asana_id,asana_iast,asana_devanagari,stage_id
207,Kapālabhāti Prānāyāma,कपालभाति प्राणायाम,73
207,Kapālabhāti Prānāyāma,कपालभाति प्राणायाम,74
207,Kapālabhāti Prānāyāma,कपालभाति प्राणायाम,75
208,Bhrāmarī Prāṇāyāma,भ्रामरी प्राणायाम,null
209,Śītalī Prāṇāyāma,शीतली प्राणायाम,76
209,Śītalī Prāṇāyāma,शीतली प्राणायाम,77
209,Śītalī Prāṇāyāma,शीतली प्राणायाम,78
210,Śītkārī Prāṇāyāma,शीत्कारी प्राणायाम,79
210,Śītkārī Prāṇāyāma,शीत्कारी प्राणायाम,80
210,Śītkārī Prāṇāyāma,शीत्कारी प्राणायाम,81
211,Samavṛtti Prāṇāyāma,समवृत्ति प्राणायाम,null
212,Viṣama Vṛtti Prāṇāyāma,विषमवृत्तिप्राणायाम,null
213,Vīloma Prāṇāyāma,विलोम प्राणायाम,82
213,Vīloma Prāṇāyāma,विलोम प्राणायाम,84
213,Vīloma Prāṇāyāma,विलोम प्राणायाम,85
213,Vīloma Prāṇāyāma,विलोम प्राणायाम,86
213,Vīloma Prāṇāyāma,विलोम प्राणायाम,87
213,Vīloma Prāṇāyāma,विलोम प्राणायाम,89
213,Vīloma Prāṇāyāma,विलोम प्राणायाम,90
213,Vīloma Prāṇāyāma,विलोम प्राणायाम,91
213,Vīloma Prāṇāyāma,विलोम प्राणायाम,92
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,83
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,88
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,93
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,94
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,95
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,96
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,97
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,99
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,100
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,101
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,102
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,103
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,104
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,105
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,106
214,Anuloma Viloma Prāṇāyāma,अनुलोम विलोम प्राणायाम,107
215,Pratiloma Prāṇāyāma,प्रतिलोम प्राणायाम,108
215,Pratiloma Prāṇāyāma,प्रतिलोम प्राणायाम,109
215,Pratiloma Prāṇāyāma,प्रतिलोम प्राणायाम,110
215,Pratiloma Prāṇāyāma,प्रतिलोम प्राणायाम,111
215,Pratiloma Prāṇāyāma,प्रतिलोम प्राणायाम,112
215,Pratiloma Prāṇāyāma,प्रतिलोम प्राणायाम,113
215,Pratiloma Prāṇāyāma,प्रतिलोम प्राणायाम,114
215,Pratiloma Prāṇāyāma,प्रतिलोम प्राणायाम,115
216,Sahita and Kevala Kumbhaka Prāṇāyāma,सहितकेवलकुम्भकप्राणायाम,null
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदना प्राणायाम,116
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,117
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,118
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,119
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,120
217,Chandra Bhedana Prāṇāyāma,चंद्रभेदन प्राणायाम,121
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,122
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,123
217,Chandra Bhedana Prāṇāyāma,चन्द्र भेदन प्राणायाम,124
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,125
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदनप्राणायाम,126
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदनप्राणायाम,127
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,128
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,129
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,130
217,Chandra Bhedana Prāṇāyāma,चन्द्रभेदन प्राणायाम,131
218,Dhyāna,ध्यान,null
219,Jālandhara bandha,जालन्धरबन्ध,null
220,Mūla Bandha,मूलबन्धश्सन,null
221,Abhyaṅga,अभ्यङ्ग,null
222,Sañcālana,सञ्चालन,null
223,Jhulana,झुलना लुरहकानासन,null
224,Vajrāsana,वज्रासन,null
225,Praṇāmāsana,प्रणामासन,null
226,Ūrdhva Hastāsana,ऊर्ध्व हस्तासन,null
227,Aśwa Sañcalanāsana,अश्व संचलनासन,null
228,Aṣṭāṅga Namaskāra,अष्टाङ्ग नमस्कार,null
229,Svastikāsana,स्वस्तिकासन,null
230,Ardha Padmāsana,अर्ध पद्मासन,null
231,Sukhāsana,सुखासन,140
232,Nāsā Mudrā,नासामुद्रा,null
233,Paścimānamaskārāsana,पश्चिमानमस्कारासन,null
234,Ardha Halāsana,अर्ध हलासन,132
234,Ardha Halāsana,अर्ध हलासन,133
235,Viparītakaraṇī,विपरीतकरणी,null
